,name,Type_x,Class,(A)chondrite,Group_x,Petrologic type,Type_y,Group_y,mass (g),Year,Month,Day,Hour,Locality,Country,continent,latitude,longitude
60,Bholghati,Stone,Howardite,Achondrite,HOW,,Achondrite,Howardite,2500.0,1905,October,29,830,Orissa,India,Asia,22.0833,86.9
61,Bielokrynitschie,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,1900.0,1887,January,1,1800,Khmelnytska Province,Ukraine,Europe,50.1333,27.1667
62,Bilanga,Stone,Diogenite,Achondrite,DIO,,Achondrite,Diogenite,25000.0,1999,October,27,1030 (local time),,Burkina Faso,Africa,12.45,-0.0833
63,Binningup,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,488.1,1984,September,30,1010,Western Australia,Australia,Oceania,-33.1564,115.6764
64,Birni N'konni,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,560.0,1923,April,,,,Niger,Africa,13.7667,5.3
65,Bald Mountain,Stone,Ordinary,Chondrite,L,4,Chondrite,L4,3700.0,1929,July,9,,North Carolina,USA,North America,35.9667,-82.4833
66,Bishopville,Stone,Aubrite,Achondrite,AUB,,Achondrite,Aubrite,6000.0,1843,March,25,,South Carolina,USA,North America,34.1667,-80.2833
67,Bishunpur,Stone,Ordinary,Chondrite,LL,3,Chondrite,LL3.15,1039.0,1895,April,26,1500,Uttar Pradesh,India,Asia,25.3833,82.6
68,Bjurböle,Stone,Ordinary,Chondrite,L/LL,4,Chondrite,L/LL4,330000.0,1899,March,12,2230,,Finland,Europe,60.4,25.8
69,Black Moshannan Park,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,705.0,1941,July,10,0600-0630,Pennsylvania,USA,North America,40.9167,-78.0833
70,Blackwell,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,2381.0,1906,May,,2100,Oklahoma,USA,North America,36.8333,-97.3333
71,Blanket,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,5100.0,1909,May,30,2230,Texas,USA,North America,31.8333,-98.8333
72,Blansko,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,470.0,1833,November,25,1830,Moravia,Czech Republic,Europe,49.3667,16.6333
73,Baldwyn,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,345.0,1922,February,2,,Mississippi,USA,North America,34.5,-88.6667
74,Bali,Stone,Carbonaceous,Chondrite,CV,3,Chondrite,CV3,1000.0,1907,November,22 or 23,1030,,Central African,Africa,5.3833,16.3833
75,Bogou,Iron,Coarse octahedrite,,IAB,Og,Primitive Achondrite,"Iron, IAB-MG",8800.0,1962,August,14,1000,,Burkina Faso,Africa,12.5,0.7
76,Boguslavka,Iron,Hexahedrite,,IIAB,H,Achondrite,"Iron, IIAB",256000.0,1916,October,18,1147,Maritime Territory,Russia,Europe,44.55,131.6333
77,Bori,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,8600.0,1894,May,9,1600,Madhya Pradesh,India,Asia,21.95,78.0333
78,Boriskino,Stone,Carbonaceous,Chondrite,CM,2,Chondrite,CM2,1342.0,1930,April,20,1330,Orenburg Province,Russia,Europe,54.2333,52.4833
79,Borkut,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,7000.0,1852,October,13,1500,Zakarpatska Province,Ukraine,Europe,48.15,24.2833
80,Bovedy,Stone,Ordinary,Chondrite,L,3,Chondrite,L3,5460.0,1969,April,25,2122,County Londonderry,Northern Ireland,Europe,54.5667,-6.3333
81,Bo Xian,Stone,Ordinary,Chondrite,LL,4,Chondrite,LL3.9,7500.0,1977,October,20,1430,Anhui,China,Asia,33.8333,115.8333
82,Bradford Woods,Stone,Ordinary,Chondrite,L,,Chondrite,L,762.0,1886,September,,1200,Pennsylvania,USA,North America,40.5,-80.0833
83,Braunau,Iron,Hexahedrite,,IIAB,H,Achondrite,"Iron, IIAB",39000.0,1847,July,14,345,Bohemia,Czech Republic,Europe,50.6,16.3
84,Breitscheid,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1500.0,1956,August,11,1530,Hessen,Germany,Europe,50.6669,8.1836
85,Bremervörde,Stone,Ordinary,Chondrite,H/L,3,Chondrite,H/L3.9,7250.0,1855,May,13,1700,Niedersachsen,Germany,Europe,53.4,9.1
86,Brient,Stone,Eucrite,Achondrite,EUC,,Achondrite,Eucrite-pmict,219.0,1933,April,19,2030,Orenburg Province,Russia,Europe,52.1333,59.3167
87,Bruderheim,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,303000.0,1960,March,4,806,Alberta,Canada,North America,53.9,-112.8833
88,Bununu,Stone,Howardite,Achondrite,HOW,,Achondrite,Howardite,357.0,1942,April,,1000,,Nigeria,Africa,10.0167,9.5833
89,Bandong,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,11500.0,1871,December,10,1330,Java,Indonesia,Asia,-6.9167,107.6
90,Bur-Gheluai,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,120000.0,1919,October,16,800,,Somalia,Africa,5.0,48.0
91,Burnwell,Stone,Ordinary,Chondrite,UNGR,4,Chondrite,H4-an,1504.0,1990,September,4,1545 EDT (1945 UT),Kentucky,USA,North America,37.6219,-82.2372
