,Year,Month,Group_x,count,month_no
0,1868,October,LOD,1,10
1,1872,May,URE,1,5
2,1885,November,IAB,1,11
3,1886,September,URE,1,9
4,1898,August,UNGR,1,8
5,1921,April,IAB,1,4
6,1931,April,WIN,1,4
7,1934,July,IAB,1,7
8,1955,March,URE,1,3
9,1959,November,IIICD,1,11
10,1962,August,IAB,1,8
11,1964,April,UNGR,1,4
12,1971,August,URE,1,8
13,1976,August,ACAP,1,8
14,1990,August,URE,1,8
