,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
1830,Acapulco,28305,A147,Stone,Acapulcoite,Achondrite,ACAP,,1914 g,1976,August,11,1100,Guerrero,Mexico,16.8833,-99.9,16° 53' N,99° 54' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA147%7CscientificName%3AAcapulco
2152,Ambapur Nagla,28627,A1580,Stone,Ordinary,Chondrite,H,5,6.3 kg,1895,May,27,100,Uttar Pradesh,India,27.6667,78.25,27° 40' N,78° 15' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1580%7CscientificName%3AAmbapur%20Nagla
2157,Andhara,28632,A1640,Stone,,,,,2.7 kg,1880,December,2,1600,Bihar,India,26.5833,85.5667,26° 35' N,85° 34' E,,
2158,Andover,28633,A1650,Stone,Ordinary,Chondrite,L,6,3.2 kg,1898,August,5,730,Maine,USA,44.6167,-70.75,44° 37' N,70° 45' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1650%7CscientificName%3AAndover
2159,Andreevka,28634,A1655,Stone,Ordinary,Chondrite,L,3,600 g,1969,August,7,1900,Donetsk Province,Ukraine,48.7,37.5,48° 42' N,37° 30' E,,
2160,Achiras,28635,A170,Stone,Ordinary,Chondrite,L,6,780 g,1902,,,,Cordoba,Argentina,-33.1667,-64.95,33° 10' S,64° 57' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA170%7CscientificName%3AAchiras
2162,Andura,28637,A1720,Stone,Ordinary,Chondrite,H,6,17.9 kg,1939,August,9,,Maharashtra,India,20.8833,76.8667,20° 53' N,76° 52' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1720%7CscientificName%3AAndura
2166,Angra dos Reis (stone),28641,A1790,Stone,Angrite,Achondrite,ANGR,,1.5 kg,1869,January,,500,,Brazil,-22.9667,-44.3167,22° 58' S,44° 19' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1790%7CscientificName%3AAngra%20dos%20Reis%20%28stone%29
2169,Ankober,28644,A1820,Stone,Ordinary,Chondrite,H,4,6500 g,1942,July,7,1100,,Ethiopia,9.5333,39.7167,9° 32' N,39° 43' E,,
2170,Anlong,28645,A1830,Stone,Ordinary,Chondrite,H,5,2.5 kg,1971,May,2,1600,Guizhou,China,25.15,105.1833,25° 9' N,105° 11' E,,
2180,Aomori,28655,A1937,Stone,Ordinary,Chondrite,L,6,320 g,1984,June,30,1350,Honshu,Japan,40.8106,140.7856,40° 48' 38'' N,140° 47' 8'' E,,
2185,Appley Bridge,28660,A1970,Stone,Ordinary,Chondrite,LL,6,15 kg,1914,October,13,2045,Lancashire,England,53.5833,-2.7167,53° 35' N,2° 43' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1970%7CscientificName%3AAppley%20Bridge
2192,Arbol Solo,28667,A2030,Stone,Ordinary,Chondrite,H,5,,1954,September,11,2100,San Luis,Argentina,-33.0,-66.0,33° S,66° W,,
2195,Archie,28670,A2050,Stone,Ordinary,Chondrite,H,6,5.1 kg,1932,August,10,1630,Missouri,USA,38.5,-94.3,38° 30' N,94° 18' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2050%7CscientificName%3AArchie
2206,Arroyo Aguiar,28681,A2240,Stone,Ordinary,Chondrite,H,5,7.45 kg,1950,,,,Santa Fe,Argentina,-31.4167,-60.6667,31° 25' S,60° 40' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2240%7CscientificName%3AArroyo%20Aguiar
2212,Ashdon,28687,A2310,Stone,Ordinary,Chondrite,L,6,1300 g,1923,March,9,1300,Essex,England,52.05,0.3,52° 3' N,0° 18' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2310%7CscientificName%3AAshdon
2219,Assisi,28694,A2410,Stone,Ordinary,Chondrite,H,5,2 kg,1886,May,24,700,Umbria,Italy,43.0333,12.55,43° 2' N,12° 33' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2410%7CscientificName%3AAssisi
4751,Atarra,31226,A2530,Stone,Ordinary,Chondrite,L,4,1280 g,1920,December,23,1735,Uttar Pradesh,India,25.2542,80.625,25° 15' 15'' N,80° 37' 30'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA2530%7CscientificName%3AAtarra
4752,Atemajac,31227,A2540,Stone,Ordinary,Chondrite,L,6,,1896,February,26,,Jalisco,Mexico,20.0667,-103.6667,20° 4' N,103° 40' W,,
4753,Athens,31228,A2550,Stone,Ordinary,Chondrite,LL,6,265 g,1933,July,11,930,Alabama,USA,34.75,-87.0,34° 45' N,87° 0' W,,
