,Type,group,count,max_mass_grams,percentage[%],max_mass_Kilograms,max_mass_Pounds
0,Unclassified,Stone-uncl,20,2700.0,62.5,2.7,5.95
1,Unclassified,Iron,11,37500.0,34.38,37.5,82.67
2,Unclassified,Unknown,1,,3.12,,
