,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,country code,area(sq Km),marker_color
0,Aachen,1,Chondrite,L5,21.0,1880.0,50.775,6.08333,Germany,Europe,DEU,348570.0,orange
1,Aarhus,2,Chondrite,H6,720.0,1951.0,56.18333,10.23333,Denmark,Europe,DNK,40000.0,orange
2,Abee,6,Chondrite,EH4,107000.0,1952.0,54.21667,-113.0,Canada,North America,CAN,8965590.0,orange
3,Acapulco,10,Primitive Achondrite,Acapulcoite,1914.0,1976.0,16.88333,-99.9,Mexico,North America,MEX,1943950.0,blue
4,Achiras,370,Chondrite,L6,780.0,1902.0,-33.16667,-64.95,Argentina,South America,ARG,2736690.0,orange
5,Adhi Kot,379,Chondrite,EH4,4239.0,1919.0,32.1,71.8,Pakistan,Asia,PAK,770880.0,orange
6,Adzhi-Bogdo (stone),390,Chondrite,LL3-6,910.0,1949.0,44.83333,95.16667,Mongolia,Asia,MNG,1557292.418,orange
7,Aguada,398,Chondrite,L6,1620.0,1930.0,-31.6,-65.23333,Argentina,South America,ARG,2736690.0,orange
8,Aguila Blanca,417,Chondrite,L,1440.0,1920.0,-30.86667,-64.55,Argentina,South America,ARG,2736690.0,orange
9,Aioun el Atrouss,423,Achondrite,Diogenite-pm,1000.0,1974.0,16.39806,-9.57028,Mauritania,Africa,MRT,1030700.0,gray
10,Aïr,424,Chondrite,L6,24000.0,1925.0,19.08333,8.38333,Niger,Africa,NER,1266700.0,orange
11,Akaba,426,Chondrite,L6,779.0,1949.0,29.51667,35.05,Jordan,Asia,JOR,88780.0,orange
12,Akbarpur,427,Chondrite,H4,1800.0,1838.0,29.71667,77.95,India,Asia,IND,2973190.0,orange
13,Akwanga,432,Chondrite,H,3000.0,1959.0,8.91667,8.43333,Nigeria,Africa,NGA,910770.0,orange
14,Akyumak,433,Achondrite,"Iron, IVA",50000.0,1981.0,39.91667,42.81667,Turkey,Asia,,,gray
15,Al Rais,446,Chondrite,CR2-an,160.0,1957.0,24.41667,39.51667,Saudi Arabia,Asia,SAU,2149690.0,orange
16,Al Zarnkh,447,Chondrite,LL5,700.0,2001.0,13.66033,28.96,Sudan,Africa,SDN,2376000.0,orange
17,Alberta,454,Chondrite,L,625.0,1949.0,2.0,22.66667,"Congo, The Democratic Republic of the",Africa,,,orange
18,Alby sur Chéran,458,Achondrite,Eucrite-mmict,252.0,2002.0,45.82133,6.01533,France,Europe,FRA,547557.0,gray
19,Aldsworth,461,Chondrite,LL5,700.0,1835.0,51.78333,-1.78333,United Kingdom,Europe,GBR,241930.0,orange
20,Aleppo,462,Chondrite,L6,3200.0,1873.0,36.23333,37.13333,Syrian Arab Republic,Asia,SYR,183630.0,orange
21,Alessandria,463,Chondrite,H5,908.0,1860.0,44.88333,8.75,Italy,Europe,ITA,295718.0,orange
22,Alexandrovsky,465,Chondrite,H4,9251.0,1900.0,50.95,31.81667,Ukraine,Europe,UKR,579320.0,orange
23,Alfianello,466,Chondrite,L6,228000.0,1883.0,45.26667,10.15,Italy,Europe,ITA,295718.0,orange
24,Allegan,2276,Chondrite,H5,32000.0,1899.0,42.53333,-85.88333,United States,North America,USA,9147420.0,orange
25,Allende,2278,Chondrite,CV3,2000000.0,1969.0,26.96667,-105.31667,Mexico,North America,MEX,1943950.0,orange
26,Almahata Sitta,48915,Primitive Achondrite,Ureilite-an,3950.0,2008.0,20.74575,32.41275,Sudan,Africa,SDN,2376000.0,blue
27,Alta'ameem,2284,Chondrite,LL5,6000.0,1977.0,35.27333,44.21556,Iraq,Asia,IRQ,434320.0,orange
28,Ambapur Nagla,2290,Chondrite,H5,6400.0,1895.0,27.66667,78.25,India,Asia,IND,2973190.0,orange
29,Andhara,2294,Unclassified,Stone-uncl,2700.0,1880.0,26.58333,85.56667,India,Asia,IND,2973190.0,darkred
