,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year,month,latitude_decimal,longitude_decimal
46,2022-07-25 07:28:17,40.5S,76.6E,33.6,15.2,-2.1,-2.2,14.9,87000000000.0,0.27,2022,7,-40.5,76.6
47,2022-07-22 00:16:19,23.3S,20.5W,32.7,17.4,-7.1,15.5,-3.3,60000000000.0,0.19,2022,7,-23.3,-20.5
48,2022-07-20 10:56:53,43.0S,59.6W,32.2,16.0,-0.9,15.6,-3.6,86000000000.0,0.27,2022,7,-43.0,-59.6
49,2022-07-08 01:36:37,21.3N,130.1E,22.0,20.2,17.9,-4.1,-8.3,27000000000.0,0.095,2022,7,21.3,130.1
50,2022-07-07 01:49:26,41.7S,175.0E,35.0,,,,,734000000000.0,1.8,2022,7,-41.7,175.0
51,2022-06-30 04:02:57,31.9S,12.9W,56.0,,,,,91000000000.0,0.28,2022,6,-31.9,-12.9
52,2022-06-26 20:16:26,69.7S,164.7E,19.0,20.1,0.2,-18.3,8.2,65000000000.0,0.21,2022,6,-69.7,164.7
53,2022-06-14 13:12:28,4.6N,39.1W,61.0,,,,,91000000000.0,0.28,2022,6,4.6,-39.1
54,2022-06-07 22:53:17,40.8N,127.1W,41.1,24.9,23.1,2.0,-9.2,31000000000.0,0.11,2022,6,40.8,-127.1
55,2022-05-24 02:38:20,16.3N,30.4W,39.8,,,,,126000000000.0,0.37,2022,5,16.3,-30.4
56,2022-04-21 22:15:28,55.5S,68.9W,28.4,12.7,-4.2,11.6,3.2,39000000000.0,0.13,2022,4,-55.5,-68.9
57,2022-04-12 21:59:12,8.2S,57.8E,23.8,20.6,-19.3,-6.3,3.6,52000000000.0,0.17,2022,4,-8.2,57.8
58,2022-04-04 00:30:39,3.2S,64.3W,31.5,19.7,-17.6,5.3,-7.2,27000000000.0,0.095,2022,4,-3.2,-64.3
59,2022-03-30 18:19:18,45.9S,171.4W,74.0,,,,,20000000000.0,0.073,2022,3,-45.9,-171.4
60,2022-03-28 10:20:24,7.7S,74.3E,29.0,19.6,-16.6,-10.4,0.1,378000000000.0,0.98,2022,3,-7.7,74.3
61,2022-03-24 03:43:42,1.9N,20.6W,56.7,18.2,-12.4,11.4,6.9,76000000000.0,0.24,2022,3,1.9,-20.6
62,2022-03-11 21:22:46,70.0N,9.1W,33.3,17.2,-11.5,-5.3,-11.7,1851000000000.0,4.0,2022,3,70.0,-9.1
63,2022-03-06 15:06:15,4.1S,99.5W,,,,,,20000000000.0,0.073,2022,3,-4.1,-99.5
64,2022-03-03 00:03:03,50.4S,45.9E,72.0,,,,,21000000000.0,0.076,2022,3,-50.4,45.9
65,2022-02-17 12:08:06,33.5N,38.9W,41.0,,,,,27000000000.0,0.095,2022,2,33.5,-38.9
66,2022-02-17 03:53:24,5.4N,56.4E,32.4,21.5,-4.4,-19.6,-7.7,65000000000.0,0.21,2022,2,5.4,56.4
67,2022-02-07 20:06:26,28.7S,11.4E,26.5,13.1,-8.9,-7.3,-6.3,3480000000000.0,7.0,2022,2,-28.7,11.4
68,2022-02-03 19:50:40,13.3S,142.2E,36.0,22.8,17.6,9.7,-10.8,152000000000.0,0.44,2022,2,-13.3,142.2
69,2022-01-30 02:06:18,50.0N,38.0W,36.6,20.0,-10.8,16.8,1.0,54000000000.0,0.18,2022,1,50.0,-38.0
70,2022-01-28 05:04:45,4.5S,73.9W,37.0,,,,,341000000000.0,0.9,2022,1,-4.5,-73.9
71,2022-01-11 03:33:13,58.4S,160.2W,40.8,22.8,-2.5,5.3,22.0,1264000000000.0,2.9,2022,1,-58.4,-160.2
72,2022-01-01 20:23:04,66.1N,152.6W,35.5,,,,,145000000000.0,0.42,2022,1,66.1,-152.6
73,2021-12-29 03:15:35,69.7S,115.0E,44.0,22.0,7.4,-8.6,18.8,20000000000.0,0.073,2021,12,-69.7,115.0
74,2021-12-23 21:27:58,4.9S,29.6W,37.0,,,,,21000000000.0,0.076,2021,12,-4.9,-29.6
75,2021-12-20 23:15:55,62.7N,60.3E,56.0,18.2,10.3,-7.1,-13.2,32000000000.0,0.11,2021,12,62.7,60.3
76,2021-12-10 01:19:06,47.5S,172.6E,27.5,,,,,50000000000.0,0.16,2021,12,-47.5,172.6
77,2021-11-28 18:06:50,32.6N,113.5E,38.4,19.7,0.2,-2.2,-19.6,40000000000.0,0.13,2021,11,32.6,113.5
78,2021-11-17 15:53:21,6.8S,119.1E,35.0,23.0,7.0,-18.3,-12.0,24000000000.0,0.086,2021,11,-6.8,119.1
79,2021-11-08 05:28:28,33.8S,7.7W,36.0,,,,,33000000000.0,0.11,2021,11,-33.8,-7.7
80,2021-10-28 09:10:30,4.1S,138.7W,35.2,,,,,30000000000.0,0.1,2021,10,-4.1,-138.7
