,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year,month,latitude_decimal,longitude_decimal
204,2018-07-27 09:35:14,58.8S,105.8E,32.0,,,,,105000000000.0,0.32,2018,7,-58.8,105.8
205,2018-07-25 21:55:26,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,877000000000.0,2.1,2018,7,76.9,-69.0
206,2018-07-17 15:17:37,82.5N,136.7W,,,,,,211000000000.0,0.59,2018,7,82.5,-136.7
207,2018-06-26 17:51:53,32.0N,12.1E,63.0,14.1,-10.0,-1.0,-9.9,29000000000.0,0.1,2018,6,32.0,12.1
208,2018-06-21 01:16:20,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1224000000000.0,2.8,2018,6,52.8,38.1
209,2018-06-02 16:44:12,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,375000000000.0,0.98,2018,6,-21.2,23.3
210,2018-05-12 03:26:46,6.5S,173.7E,34.0,,,,,193000000000.0,0.54,2018,5,-6.5,173.7
211,2018-05-08 02:27:13,32N,60.7W,,,,,,73000000000.0,0.23,2018,5,32.0,-60.7
212,2018-05-03 07:23:59,46.9N,7.5W,39.0,11.5,1.3,-2.1,-11.2,38000000000.0,0.13,2018,5,46.9,-7.5
213,2018-04-30 13:17:57,45.5S,1.4W,34.0,13.1,8.7,-9.5,2.5,30000000000.0,0.1,2018,4,-45.5,-1.4
214,2018-04-21 12:06:04,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,36000000000.0,0.12,2018,4,-59.0,45.8
215,2018-04-19 14:02:27,7.5N,3.6E,30.0,20.9,-9.1,-2.5,18.6,72000000000.0,0.23,2018,4,7.5,3.6
216,2018-04-19 13:39:38,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,512000000000.0,1.3,2018,4,-22.2,72.6
217,2018-04-07 03:05:09,72.4N,78.7W,31.5,,,,,86000000000.0,0.27,2018,4,72.4,-78.7
218,2018-02-21 01:28:03,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,71000000000.0,0.22,2018,2,-13.5,-37.1
219,2018-02-15 13:38:22,43.8S,1.1W,50.7,,,,,27000000000.0,0.095,2018,2,-43.8,-1.1
220,2018-02-12 02:15:19,15.9S,58.9W,,,,,,39000000000.0,0.13,2018,2,-15.9,-58.9
221,2018-02-08 22:21:41,42.9N,179.7E,43.5,,,,,259000000000.0,0.7,2018,2,42.9,179.7
222,2018-02-01 12:21:36,19.4S,104.3E,37.0,16.5,8.1,-8.4,-11.7,190000000000.0,0.53,2018,2,-19.4,104.3
223,2018-01-22 22:06:30,14.0N,17.4W,,,,,,32000000000.0,0.11,2018,1,14.0,-17.4
224,2018-01-15 02:18:38,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,199000000000.0,0.56,2018,1,-52.0,57.2
225,2018-01-06 21:24:22,55.8N,52.5E,26.0,21.0,0.8,2.2,-20.9,28000000000.0,0.098,2018,1,55.8,52.5
226,2018-01-06 18:24:28,39.5S,12.8E,26.0,,,,,36000000000.0,0.12,2018,1,-39.5,12.8
227,2017-12-31 09:36:10,63.5S,101.3W,64.5,,,,,44000000000.0,0.15,2017,12,-63.5,-101.3
228,2017-12-29 12:47:31,14.6N,49.5W,38.0,,,,,110000000000.0,0.33,2017,12,14.6,-49.5
230,2017-12-15 13:14:37,60.2N,170.0E,20.0,31.4,27.8,-4.7,-13.9,3114000000000.0,6.4,2017,12,60.2,170.0
231,2017-11-19 04:17:32,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,28000000000.0,0.098,2017,11,-24.2,135.0
232,2017-10-26 22:05:35,21.3S,177.6E,42.5,,,,,558000000000.0,1.4,2017,10,-21.3,177.6
233,2017-10-23 15:31:23,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,24000000000.0,0.086,2017,10,28.8,44.6
234,2017-10-15 04:33:16,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,33000000000.0,0.11,2017,10,-65.2,128.2
235,2017-10-09 12:51:48,18.3S,64.1W,,,,,,30000000000.0,0.1,2017,10,-18.3,-64.1
236,2017-10-04 12:07:05,28.1N,99.4E,37.0,14.6,-8.5,-9.0,7.8,192000000000.0,0.54,2017,10,28.1,99.4
237,2017-09-05 05:11:27,49.3N,116.9W,36.0,14.7,12.7,-6.1,-4.2,38000000000.0,0.13,2017,9,49.3,-116.9
238,2017-07-31 22:01:35,24.7N,118.5W,,,,,,58000000000.0,0.19,2017,7,24.7,-118.5
239,2017-07-23 06:12:38,6.6S,69.7W,38.0,17.2,-0.4,8.7,-14.8,35000000000.0,0.12,2017,7,-6.6,-69.7
240,2017-07-13 09:30:36,23.1N,60.7E,35.0,13.7,-10.0,-6.5,-6.8,73000000000.0,0.23,2017,7,23.1,60.7
241,2017-06-30 14:26:45,34.3S,134.5E,20.0,15.2,10.9,-9.7,4.2,94000000000.0,0.29,2017,6,-34.3,134.5
242,2017-06-23 20:21:55,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,184000000000.0,0.52,2017,6,57.0,143.7
243,2017-06-20 13:41:32,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,636000000000.0,1.6,2017,6,-54.2,133.0
244,2017-05-24 07:03:03,9.1S,101.8E,46.0,18.4,-6.5,-16.5,-5.0,90000000000.0,0.28,2017,5,-9.1,101.8
245,2017-05-22 17:44:39,49.6S,157.6W,33.0,,,,,35000000000.0,0.12,2017,5,-49.6,-157.6
246,2017-05-14 09:30:35,26.0S,32.4E,33.0,,,,,35000000000.0,0.12,2017,5,-26.0,32.4
247,2017-04-30 21:28:28,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,150000000000.0,0.43,2017,4,-25.7,56.2
248,2017-03-11 04:51:21,28.3N,60.2W,28.0,,,,,1263000000000.0,2.9,2017,3,28.3,-60.2
249,2017-03-09 04:16:37,40.5N,18.0W,23.0,36.5,-15.3,25.8,-20.8,400000000000.0,1.0,2017,3,40.5,-18.0
250,2017-03-08 22:21:59,26.1S,174.9E,37.0,,,,,72000000000.0,0.23,2017,3,-26.1,174.9
251,2017-02-25 01:22:59,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,65000000000.0,0.21,2017,2,29.5,13.5
252,2017-02-22 18:47:30,50.7S,66.0W,,,,,,38000000000.0,0.13,2017,2,-50.7,-66.0
253,2017-02-18 19:48:29,6.2N,60.4E,38.0,24.2,-6.6,-22.7,-5.3,295000000000.0,0.79,2017,2,6.2,60.4
254,2017-02-07 17:37:31,27.4S,14.8W,54.0,,,,,20000000000.0,0.073,2017,2,-27.4,-14.8
255,2017-02-06 06:09:59,10.4N,131.6E,33.5,,,,,66000000000.0,0.21,2017,2,10.4,131.6
256,2016-12-23 03:29:09,21.3N,49.3E,42.0,29.7,-22.4,16.4,-10.5,38000000000.0,0.13,2016,12,21.3,49.3
257,2016-12-07 04:51:39,34.5S,126.6W,,,,,,117000000000.0,0.35,2016,12,-34.5,-126.6
258,2016-11-29 08:05:38,30.6S,93.1W,,,,,,31000000000.0,0.11,2016,11,-30.6,-93.1
259,2016-11-24 14:10:34,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,138000000000.0,0.4,2016,11,-15.2,80.3
260,2016-11-03 17:14:29,39.6S,16.3W,37.0,,,,,76000000000.0,0.24,2016,11,-39.6,-16.3
261,2016-10-01 20:23:45,36.2N,6.7E,27.8,14.2,-10.0,3.9,-9.3,31000000000.0,0.11,2016,10,36.2,6.7
262,2016-09-22 04:57:49,51.8S,178.5E,40.0,17.5,-2.5,-3.3,17.0,71000000000.0,0.22,2016,9,-51.8,178.5
263,2016-09-14 15:01:51,3.5S,44.6E,54.0,18.3,3.5,-16.2,7.7,76000000000.0,0.24,2016,9,-3.5,44.6
264,2016-08-27 21:45:13,56.9S,162.2E,42.0,,,,,142000000000.0,0.41,2016,8,-56.9,162.2
265,2016-08-11 05:59:58,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,184000000000.0,0.52,2016,8,-43.7,53.8
266,2016-08-05 18:02:44,46.4N,171.6E,32.4,,,,,121000000000.0,0.36,2016,8,46.4,171.6
267,2016-07-21 00:48:53,7.8N,1.6W,37.0,,,,,45000000000.0,0.15,2016,7,7.8,-1.6
268,2016-07-05 01:24:26,1.0N,48.6E,38.2,25.1,-10.3,-2.0,-22.8,153000000000.0,0.44,2016,7,1.0,48.6
269,2016-06-27 10:02:42,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,458000000000.0,1.2,2016,6,15.8,-11.9
270,2016-06-05 06:12:55,17.4S,138.3E,28.7,14.5,6.0,-11.9,5.7,331000000000.0,0.87,2016,6,-17.4,138.3
271,2016-06-02 10:56:32,33.8N,110.9W,,,,,,172000000000.0,0.49,2016,6,33.8,-110.9
272,2016-05-29 12:14:55,10.2N,48.8W,32.0,,,,,69000000000.0,0.22,2016,5,10.2,-48.8
273,2016-05-20 11:59:46,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,20000000000.0,0.073,2016,5,-32.8,15.1
274,2016-05-16 10:09:41,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,519000000000.0,1.3,2016,5,3.2,6.6
275,2016-05-13 00:34:01,26.2N,122.3W,33.0,,,,,101000000000.0,0.31,2016,5,26.2,-122.3
276,2016-04-24 05:39:24,9.8N,42.8W,50.0,,,,,146000000000.0,0.42,2016,4,9.8,-42.8
277,2016-04-18 11:59:10,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,224000000000.0,0.62,2016,4,20.7,-14.5
278,2016-04-12 09:51:40,38.3N,162.2E,,,,,,20000000000.0,0.073,2016,4,38.3,162.2
279,2016-04-10 14:57:53,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,655000000000.0,1.6,2016,4,22.0,149.0
280,2016-03-16 23:54:20,49.2S,6.3W,42.0,13.3,-7.6,9.1,6.0,32000000000.0,0.11,2016,3,-49.2,-6.3
281,2016-03-03 01:32:43,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,58000000000.0,0.19,2016,3,-48.0,51.0
282,2016-02-23 03:59:13,32.3N,67.2E,44.0,17.9,-8.5,-1.6,-15.7,35000000000.0,0.12,2016,2,32.3,67.2
283,2016-02-21 05:58:53,36.5N,37.2W,32.0,,,,,369000000000.0,0.96,2016,2,36.5,-37.2
284,2016-02-19 08:15:02,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,202000000000.0,0.56,2016,2,0.7,-11.6
285,2016-02-13 00:10:13,3.1N,117.9E,,,,,,51000000000.0,0.17,2016,2,3.1,117.9
286,2016-02-06 13:55:09,30.4S,25.5W,31.0,15.6,2.7,14.5,5.0,6853000000000.0,13.0,2016,2,-30.4,-25.5
287,2016-01-27 09:59:16,45.8S,53.6E,37.0,11.5,-10.0,-4.4,3.6,50000000000.0,0.16,2016,1,-45.8,53.6
288,2016-01-21 16:44:54,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,46000000000.0,0.15,2016,1,-10.8,0.7
289,2015-12-30 13:07:50,33.8N,160.7W,39.0,,,,,22000000000.0,0.079,2015,12,33.8,-160.7
290,2015-12-21 02:32:48,5.9N,143.0E,42.2,12.1,6.4,-10.0,2.5,83000000000.0,0.26,2015,12,5.9,143.0
291,2015-12-08 00:34:23,69.9S,150.5E,38.0,,,,,197000000000.0,0.55,2015,12,-69.9,150.5
292,2015-11-13 14:59:27,16.0N,124.3E,28.0,,,,,102000000000.0,0.31,2015,11,16.0,124.3
293,2015-11-02 21:34:20,41.4S,33.0E,37.0,,,,,78000000000.0,0.24,2015,11,-41.4,33.0
294,2015-10-31 11:34:30,9.0N,138.0W,71.0,,,,,97000000000.0,0.29,2015,10,9.0,-138.0
295,2015-10-30 07:07:12,85.0S,161.7W,,,,,,180000000000.0,0.51,2015,10,-85.0,-161.7
296,2015-10-13 12:23:08,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,23000000000.0,0.082,2015,10,-8.0,-52.5
297,2015-10-11 00:07:46,55.4S,18.8W,,,,,,30000000000.0,0.1,2015,10,-55.4,-18.8
298,2015-10-10 09:57:51,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,36000000000.0,0.12,2015,10,-51.0,-21.1
299,2015-10-04 21:02:17,22.0N,171.6W,36.1,,,,,44000000000.0,0.15,2015,10,22.0,-171.6
300,2015-09-17 21:03:14,43.1S,94.9E,,,,,,98000000000.0,0.3,2015,9,-43.1,94.9
301,2015-09-14 23:50:50,5.8N,15.2W,,,,,,70000000000.0,0.22,2015,9,5.8,-15.2
302,2015-09-08 13:46:42,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,20000000000.0,0.073,2015,9,6.3,29.9
303,2015-09-07 01:41:19,14.5N,98.9E,29.3,21.0,16.8,-12.0,-3.8,1798000000000.0,3.9,2015,9,14.5,98.9
304,2015-09-02 20:10:30,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18.0,37000000000.0,0.13,2015,9,39.1,40.2
305,2015-08-04 10:24:59,9.6S,125.9E,,,,,,29000000000.0,0.1,2015,8,-9.6,125.9
306,2015-07-19 07:06:26,20.6N,87.6W,22.0,17.8,9.4,13.0,7.8,23000000000.0,0.082,2015,7,20.6,-87.6
307,2015-07-12 22:23:14,31.0N,159.6E,41.0,,,,,22000000000.0,0.079,2015,7,31.0,159.6
308,2015-07-04 01:40:11,38.6N,103.1E,46.3,49.0,0.9,-40.4,-27.7,56000000000.0,0.18,2015,7,38.6,103.1
309,2015-06-14 03:03:06,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26.0,71000000000.0,0.22,2015,6,6.3,124.1
310,2015-06-12 17:03:35,1.3S,32.1W,43.5,,,,,176000000000.0,0.5,2015,6,-1.3,-32.1
311,2015-06-10 17:43:03,11.5S,161.9W,61.1,,,,,384000000000.0,1.0,2015,6,-11.5,-161.9
312,2015-06-02 08:44:50,6.4S,142.7W,,,,,,380000000000.0,0.99,2015,6,-6.4,-142.7
313,2015-05-20 10:20:41,1.0N,172.6E,32.4,,,,,36000000000.0,0.12,2015,5,1.0,172.6
314,2015-05-18 17:13:51,32.4N,139.1E,29.0,,,,,43000000000.0,0.14,2015,5,32.4,139.1
315,2015-05-10 07:45:01,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,143000000000.0,0.42,2015,5,-46.3,-179.3
316,2015-05-07 20:34:34,21.5S,29.3W,37.0,17.3,-16.2,-5.8,1.4,52000000000.0,0.17,2015,5,-21.5,-29.3
317,2015-04-30 10:21:01,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,105000000000.0,0.32,2015,4,-48.7,139.1
318,2015-04-21 01:42:51,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,88000000000.0,0.27,2015,4,37.7,-39.6
319,2015-04-10 01:14:27,42.8S,8.2E,,,,,,65000000000.0,0.21,2015,4,-42.8,8.2
320,2015-04-08 04:06:31,25.5S,51.5E,36.3,19.2,8.0,-15.6,-7.9,173000000000.0,0.49,2015,4,-25.5,51.5
321,2015-04-03 01:39:38,8.4N,157.9W,,,,,,42000000000.0,0.14,2015,4,8.4,-157.9
322,2015-03-30 21:33:52,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,64000000000.0,0.2,2015,3,-36.1,-5.5
323,2015-03-18 00:04:50,5.4S,159.3E,50.0,,,,,121000000000.0,0.36,2015,3,-5.4,159.3
324,2015-03-11 06:18:59,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16.0,72000000000.0,0.23,2015,3,8.0,119.1
325,2015-03-08 04:26:28,39.1S,118.6W,,,,,,20000000000.0,0.073,2015,3,-39.1,-118.6
326,2015-03-04 04:30:05,15.9S,88.1E,39.8,18.0,7.8,-16.0,-2.5,55000000000.0,0.18,2015,3,-15.9,88.1
327,2015-02-26 22:06:24,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,188000000000.0,0.53,2015,2,68.0,-149.0
328,2015-02-25 10:53:24,12.4N,122.4W,42.0,,,,,58000000000.0,0.19,2015,2,12.4,-122.4
329,2015-02-17 13:19:50,8.0S,11.2W,39.0,28.8,-28.2,3.4,4.6,33000000000.0,0.11,2015,2,-8.0,-11.2
330,2015-01-09 17:31:47,23.3S,49.2W,,,,,,22000000000.0,0.079,2015,1,-23.3,-49.2
331,2015-01-09 10:41:11,2.0N,28.8E,36.0,17.5,-10.7,-7.6,11.6,139000000000.0,0.41,2015,1,2.0,28.8
332,2015-01-07 01:05:59,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,136000000000.0,0.4,2015,1,45.7,26.9
333,2015-01-02 13:39:19,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10.0,20000000000.0,0.073,2015,1,-31.1,140.0
334,2014-12-13 02:53:52,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,44000000000.0,0.15,2014,12,86.7,-162.1
335,2014-12-12 06:48:11,33.5N,144.9E,26.3,12.0,11.5,-2.8,-2.2,33000000000.0,0.11,2014,12,33.5,144.9
336,2014-12-09 21:19:18,76.6N,96.3E,26.3,,,,,78000000000.0,0.24,2014,12,76.6,96.3
337,2014-11-28 11:47:18,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,700000000000.0,1.7,2014,11,-45.8,-172.7
338,2014-11-27 12:12:52,18.8S,73.4W,38.0,,,,,55000000000.0,0.18,2014,11,-18.8,-73.4
339,2014-11-26 23:16:51,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,118000000000.0,0.35,2014,11,-69.5,-179.7
340,2014-11-26 17:40:16,68.2S,24.0W,37.0,19.9,-7.0,16.1,9.4,105000000000.0,0.32,2014,11,-68.2,-24.0
341,2014-11-04 20:13:30,43.1N,115.8E,22.2,16.0,-7.2,-12.1,-7.7,156000000000.0,0.45,2014,11,43.1,115.8
342,2014-10-21 18:55:37,22.2N,132.9W,,,,,,34000000000.0,0.12,2014,10,22.2,-132.9
343,2014-10-17 14:07:36,4.6S,66.3W,39.0,,,,,72000000000.0,0.23,2014,10,-4.6,-66.3
344,2014-10-14 10:25:03,2.0S,119.2E,27.2,16.9,15.0,-6.9,-3.5,29000000000.0,0.1,2014,10,-2.0,119.2
345,2014-10-06 20:02:15,43.7S,85.7E,,,,,,39000000000.0,0.13,2014,10,-43.7,85.7
346,2014-09-09 18:55:46,3.2N,137.2E,32.5,,,,,28000000000.0,0.098,2014,9,3.2,137.2
347,2014-09-05 21:37:26,22.7N,150.0W,,,,,,35000000000.0,0.12,2014,9,22.7,-150.0
348,2014-08-29 23:15:39,6.2S,49.9W,,,,,,26000000000.0,0.092,2014,8,-6.2,-49.9
349,2014-08-28 03:07:45,3.2N,45.4W,,,,,,34000000000.0,0.12,2014,8,3.2,-45.4
350,2014-08-23 06:29:41,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3819000000000.0,7.6,2014,8,-61.7,132.6
351,2014-07-29 07:38:07,49.2S,172.2W,,,,,,73000000000.0,0.23,2014,7,-49.2,-172.2
352,2014-07-29 03:07:43,33.9S,115.9W,,,,,,53000000000.0,0.17,2014,7,-33.9,-115.9
353,2014-06-28 02:40:07,18.9N,141.2E,26.3,12.4,12.0,3.5,-10.5,245000000000.0,0.67,2014,6,18.9,141.2
354,2014-06-26 05:54:41,71.5S,93.4E,28.5,11.2,7.0,2.9,8.3,61000000000.0,0.2,2014,6,-71.5,93.4
355,2014-05-29 01:12:36,21.9N,131.1W,28.7,,,,,58000000000.0,0.19,2014,5,21.9,-131.1
356,2014-05-16 20:06:28,39.4S,95.9W,30.8,18.0,2.9,13.4,-12.5,136000000000.0,0.4,2014,5,-39.4,-95.9
357,2014-05-16 12:42:48,44.2S,176.2W,44.0,16.5,14.4,4.6,6.5,309000000000.0,0.82,2014,5,-44.2,-176.2
358,2014-05-08 19:42:37,36.9S,87.3E,35.4,19.0,-2.0,-16.1,9.9,1050000000000.0,2.4,2014,5,-36.9,87.3
359,2014-03-29 13:45:41,28.7S,121.5E,30.7,16.3,10.0,-12.7,2.2,39000000000.0,0.13,2014,3,-28.7,121.5
360,2014-03-18 11:02:37,0.0N,111.8W,30.5,,,,,540000000000.0,1.3,2014,3,0.0,-111.8
361,2014-03-03 15:00:21,29.0S,94.9W,,,,,,94000000000.0,0.29,2014,3,-29.0,-94.9
362,2014-02-18 12:50:44,32.8S,61.5W,,,,,,26000000000.0,0.092,2014,2,-32.8,-61.5
363,2014-02-13 06:47:42,13.3N,110.7W,25.0,,,,,630000000000.0,1.5,2014,2,13.3,-110.7
364,2014-01-15 02:46:19,18.5S,141.8E,29.6,,,,,140000000000.0,0.41,2014,1,-18.5,141.8
365,2014-01-12 16:00:48,2.9N,64.4E,37.0,16.2,-5.2,-15.1,2.6,78000000000.0,0.24,2014,1,2.9,64.4
366,2014-01-08 17:05:34,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,31000000000.0,0.11,2014,1,-1.3,147.6
367,2013-12-23 08:30:57,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,147000000000.0,0.43,2013,12,39.5,2.0
368,2013-12-08 03:10:09,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,64000000000.0,0.2,2013,12,32.8,-165.1
369,2013-11-21 01:50:35,44.7N,35.3E,59.3,12.4,-5.0,-11.0,-2.7,75000000000.0,0.23,2013,11,44.7,35.3
370,2013-10-12 16:06:45,19.1S,25.0W,22.2,12.8,-8.0,8.4,-5.5,1610000000000.0,3.5,2013,10,-19.1,-25.0
372,2013-09-24 15:31:16,10.3S,164.7W,40.7,,,,,160000000000.0,0.46,2013,9,-10.3,-164.7
373,2013-08-12 18:08:02,34.4S,118.2E,66.6,,,,,44000000000.0,0.15,2013,8,-34.4,118.2
375,2013-07-31 03:50:14,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,69000000000.0,0.22,2013,7,-31.8,137.1
376,2013-07-30 02:36:58,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,390000000000.0,1.0,2013,7,-50.2,90.2
377,2013-07-27 08:30:36,0.3N,156.2E,26.5,22.1,16.0,14.9,-3.3,120000000000.0,0.36,2013,7,0.3,156.2
378,2013-07-26 11:32:26,21.0N,178.5W,37.0,,,,,20000000000.0,0.073,2013,7,21.0,-178.5
381,2013-06-01 22:49:48,65.6S,138.4E,28.9,,,,,34000000000.0,0.12,2013,6,-65.6,138.4
382,2013-05-14 23:20:21,3.0S,76.4E,,,,,,20000000000.0,0.073,2013,5,-3.0,76.4
383,2013-04-30 08:40:38,35.5N,30.7W,21.2,12.1,1.0,9.0,-8.0,5110000000000.0,10.0,2013,4,35.5,-30.7
384,2013-04-21 06:23:12,28.1S,64.6W,40.7,14.9,5.0,14.0,1.0,1066000000000.0,2.5,2013,4,-28.1,-64.6
385,2013-03-12 10:32:59,32.7S,17.1E,26.0,,,,,29000000000.0,0.1,2013,3,-32.7,17.1
386,2013-02-20 13:13:07,23.0S,38.8W,,13.6,-11.0,-8.0,-1.0,32000000000.0,0.1,2013,2,-23.0,-38.8
387,2013-02-15 03:20:33,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,375000000000000.0,440.0,2013,2,54.8,61.1
388,2013-02-07 13:12:24,18.8S,158.6W,,,,,,65000000000.0,0.21,2013,2,-18.8,-158.6
389,2013-01-25 07:40:18,60.3N,64.6W,,,,,,3400000000000.0,6.9,2013,1,60.3,-64.6
390,2013-01-12 03:04:21,15.1S,155.6W,36.1,,,,,48000000000.0,0.16,2013,1,-15.1,-155.6
391,2012-12-30 07:25:35,17.3N,83.6W,,,,,,198000000000.0,0.55,2012,12,17.3,-83.6
393,2012-11-20 20:37:31,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,25000000000.0,0.089,2012,11,2.5,29.6
394,2012-11-20 06:25:11,8.0S,86.0W,,,,,,120000000000.0,0.36,2012,11,-8.0,-86.0
396,2012-10-19 16:26:22,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,23000000000.0,0.082,2012,10,-75.4,49.6
397,2012-10-09 00:54:55,51.2N,84.6W,27.8,13.5,3.4,12.0,5.1,210000000000.0,0.58,2012,10,51.2,-84.6
398,2012-10-03 22:50:12,41.5S,21.9W,,17.0,-2.4,5.5,15.9,280000000000.0,0.75,2012,10,-41.5,-21.9
399,2012-10-02 16:38:38,8.1S,111.9W,35.0,15.4,1.4,15.3,1.0,470000000000.0,1.2,2012,10,-8.1,-111.9
400,2012-09-28 05:44:12,6.9S,73.7E,,,,,,38000000000.0,0.13,2012,9,-6.9,73.7
401,2012-09-18 19:34:39,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,244000000000.0,0.67,2012,9,1.2,-52.2
402,2012-09-11 22:07:30,18.9S,105.2E,,,,,,52000000000.0,0.17,2012,9,-18.9,105.2
403,2012-09-10 01:03:32,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,23000000000.0,0.082,2012,9,-69.8,-111.7
404,2012-08-27 06:57:43,18.3S,64.2E,38.7,28.9,-8.0,-23.7,-14.5,68000000000.0,0.22,2012,8,-18.3,64.2
405,2012-08-26 14:55:47,11.8N,117.0E,36.0,12.7,5.0,-11.6,-0.7,249000000000.0,0.68,2012,8,11.8,117.0
407,2012-07-27 04:19:50,63.1N,172.3E,27.2,,,,,34000000000.0,0.12,2012,7,63.1,172.3
408,2012-07-25 07:48:20,36.4N,41.5E,26.8,18.5,0.8,2.0,-18.4,133000000000.0,0.39,2012,7,36.4,41.5
410,2012-05-25 11:31:24,41.8S,36.2W,,,,,,60000000000.0,0.19,2012,5,-41.8,-36.2
412,2012-05-15 11:04:17,61.8S,135.5W,33.3,17.1,-0.8,1.1,17.0,132000000000.0,0.39,2012,5,-61.8,-135.5
413,2012-05-04 21:54:49,76.7N,10.6W,,,,,,229000000000.0,0.63,2012,5,76.7,-10.6
414,2012-04-23 22:01:10,36.2N,107.4E,25.2,,,,,44000000000.0,0.15,2012,4,36.2,107.4
415,2012-04-21 16:08:23,15.8S,174.8W,,,,,,143000000000.0,0.42,2012,4,-15.8,-174.8
416,2012-04-19 22:12:10,5.5N,16.8E,,,,,,30000000000.0,0.1,2012,4,5.5,16.8
417,2012-04-02 16:50:33,28.1N,95.2W,,,,,,32000000000.0,0.11,2012,4,28.1,-95.2
418,2012-03-12 06:40:44,2.5N,139.8E,25.0,11.8,0.1,-11.8,0.3,99000000000.0,0.3,2012,3,2.5,139.8
419,2012-03-03 21:28:24,7.8N,2.7E,20.4,,,,,101000000000.0,0.31,2012,3,7.8,2.7
420,2012-03-01 03:12:40,46.9N,29.8W,,,,,,22000000000.0,0.079,2012,3,46.9,-29.8
421,2012-02-24 19:11:41,22.7S,30.8E,,,,,,37000000000.0,0.13,2012,2,-22.7,30.8
422,2012-02-17 10:47:16,3.2S,39.9W,45.6,,,,,154000000000.0,0.44,2012,2,-3.2,-39.9
423,2012-02-16 04:50:52,9.8N,151.8E,,,,,,98000000000.0,0.3,2012,2,9.8,151.8
424,2012-02-12 05:25:52,31.7S,54.9E,61.0,,,,,140000000000.0,0.41,2012,2,-31.7,54.9
425,2012-02-04 14:42:51,32.4N,0.1E,34.2,12.2,-3.9,10.9,4.0,150000000000.0,0.43,2012,2,32.4,0.1
426,2012-01-15 12:26:20,64.1S,109.9E,26.3,12.3,-1.9,5.1,11.0,21000000000.0,0.076,2012,1,-64.1,109.9
427,2012-01-11 02:23:15,32.2N,88.5E,,,,,,85000000000.0,0.26,2012,1,32.2,88.5
428,2011-12-19 11:35:39,30.2S,52.6E,36.1,,,,,135000000000.0,0.4,2011,12,-30.2,52.6
