,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,range label,mass range
221,Dahmani,5504,Chondrite,LL6,18000.0,1981.0,35.61667,8.83333,Tunisia,Africa,5th_quantile,"(10322.0, 224800.0]"
222,Dandapur,5511,Chondrite,L6,5650.0,1878.0,26.91667,83.96667,India,Asia,4th_quantile,"(2700.0, 10322.0]"
223,Daniel's Kuil,5513,Chondrite,EL6,1064.0,1868.0,-28.2,24.56667,South Africa,Africa,3rd_quantile,"(682.0, 2700.0]"
224,Danville,5514,Chondrite,L6,2000.0,1868.0,34.4,-87.06667,United States,North America,3rd_quantile,"(682.0, 2700.0]"
226,Dashoguz,6604,Chondrite,H5,7000.0,1998.0,41.98444,59.685,Turkmenistan,Asia,4th_quantile,"(2700.0, 10322.0]"
227,Daule,51559,Chondrite,L5,6580.0,2008.0,-1.87089,-79.95756,Ecuador,South America,4th_quantile,"(2700.0, 10322.0]"
228,De Cewsville,6621,Chondrite,H6,340.0,1887.0,43.0,-80.0,Canada,North America,2nd_quantile,"(22.0, 682.0]"
230,Delhi,6642,Chondrite,L5,0.8,1897.0,28.56667,77.25,India,Asia,1st_quantile,"(0.099, 22.0]"
231,Demina,6649,Chondrite,L6,16400.0,1911.0,51.46667,84.76667,Russian Federation,Europe,5th_quantile,"(10322.0, 224800.0]"
232,Denver,6660,Chondrite,L6,230.0,1967.0,39.7825,-104.93056,United States,North America,2nd_quantile,"(22.0, 682.0]"
233,Dergaon,6664,Chondrite,H5,12500.0,2001.0,26.68333,93.86667,India,Asia,5th_quantile,"(10322.0, 224800.0]"
234,Desuri,6693,Chondrite,H6,25400.0,1962.0,25.73333,73.61667,India,Asia,5th_quantile,"(10322.0, 224800.0]"
235,Devgaon,6694,Chondrite,H3.8,12000.0,2001.0,19.0,81.0,India,Asia,5th_quantile,"(10322.0, 224800.0]"
236,Devri-Khera,6696,Chondrite,L6,1140.0,1994.0,24.225,76.525,India,Asia,3rd_quantile,"(682.0, 2700.0]"
237,Dhajala,6698,Chondrite,H3.8,45000.0,1976.0,22.37778,71.42722,India,Asia,5th_quantile,"(10322.0, 224800.0]"
238,Dharwar,6699,Chondrite,OC,1800.0,1848.0,14.88333,75.6,India,Asia,3rd_quantile,"(682.0, 2700.0]"
239,Dhurmsala,7640,Chondrite,LL6,32000.0,1860.0,32.23333,76.46667,India,Asia,5th_quantile,"(10322.0, 224800.0]"
240,Didim,47350,Chondrite,H3-5,3396.0,2007.0,37.35172,27.32997,Turkey,Asia,4th_quantile,"(2700.0, 10322.0]"
241,Diep River,7642,Chondrite,L6,1000.0,1906.0,-33.75,18.56667,South Africa,Africa,3rd_quantile,"(682.0, 2700.0]"
242,Distrito Quebracho,7649,Chondrite,H4,400.0,1957.0,-31.88333,-60.46667,Argentina,South America,2nd_quantile,"(22.0, 682.0]"
243,Djati-Pengilon,7652,Chondrite,H6,166000.0,1884.0,-7.5,111.5,Indonesia,Asia,5th_quantile,"(10322.0, 224800.0]"
244,Djermaia,7656,Chondrite,H,3950.0,1961.0,12.73333,15.05,Chad,Africa,4th_quantile,"(2700.0, 10322.0]"
245,Djoumine,7657,Chondrite,H5-6,10000.0,1999.0,36.95,9.55,Tunisia,Africa,4th_quantile,"(2700.0, 10322.0]"
246,Dokachi,7658,Chondrite,H5,3840.0,1903.0,23.5,90.33333,Bangladesh,Asia,4th_quantile,"(2700.0, 10322.0]"
247,Dolgovoli,7659,Chondrite,L6,1600.0,1864.0,50.75,25.3,Ukraine,Europe,3rd_quantile,"(682.0, 2700.0]"
248,Domanitch,7661,Chondrite,L5,438.0,1907.0,40.0,29.0,Turkey,Asia,2nd_quantile,"(22.0, 682.0]"
249,Dong Ujimqin Qi,7706,Achondrite,Mesosiderite,128800.0,1995.0,45.5,119.03333,China,Asia,5th_quantile,"(10322.0, 224800.0]"
250,Donga Kohrod,7707,Chondrite,H6,230.0,1899.0,21.86667,82.45,India,Asia,2nd_quantile,"(22.0, 682.0]"
251,Dongtai,7708,Chondrite,LL6,5500.0,1970.0,32.91667,120.78333,China,Asia,4th_quantile,"(2700.0, 10322.0]"
253,Dosso,7722,Chondrite,L6,1250.0,1962.0,13.05,3.16667,Niger,Africa,3rd_quantile,"(682.0, 2700.0]"
254,Douar Mghila,7723,Chondrite,LL6,1161.0,1932.0,32.33333,-6.3,Morocco,Africa,3rd_quantile,"(682.0, 2700.0]"
255,Dowa,7725,Unclassified,Stone-uncl,642.0,1976.0,-13.66667,33.91667,Malawi,Africa,2nd_quantile,"(22.0, 682.0]"
257,Dresden (Ontario),7731,Chondrite,H6,47700.0,1939.0,42.52,-82.26,Canada,North America,5th_quantile,"(10322.0, 224800.0]"
258,Dubrovnik,7736,Chondrite,L3-6,1900.0,1951.0,42.45833,18.44167,Croatia,Europe,3rd_quantile,"(682.0, 2700.0]"
259,Dunbogan,7743,Chondrite,L6,30.0,1999.0,-31.66667,152.83333,Australia,Oceania,2nd_quantile,"(22.0, 682.0]"
260,Dundrum,7745,Chondrite,H5,2270.0,1865.0,52.55,-8.03333,Ireland,Europe,3rd_quantile,"(682.0, 2700.0]"
263,Duruma,7752,Chondrite,L6,577.0,1853.0,-4.0,39.5,Kenya,Africa,2nd_quantile,"(22.0, 682.0]"
264,Duwun,7754,Chondrite,L6,2117.0,1943.0,33.43333,127.26667,Antarctica,Antarctica,3rd_quantile,"(682.0, 2700.0]"
265,Dwaleni,7755,Chondrite,H4-6,3230.0,1970.0,-27.2,31.31667,Eswatini,Africa,4th_quantile,"(2700.0, 10322.0]"
266,Dyalpur,7757,Primitive Achondrite,Ureilite,300.0,1872.0,26.25,82.0,India,Asia,2nd_quantile,"(22.0, 682.0]"
267,Dyarrl Island,7758,Achondrite,Mesosiderite-A1,188.0,1933.0,-3.0,151.0,Papua New Guinea,Oceania,2nd_quantile,"(22.0, 682.0]"
268,Eagle,7760,Chondrite,EL6,10000.0,1947.0,40.78167,-96.47167,United States,North America,4th_quantile,"(2700.0, 10322.0]"
269,Ehole,7774,Chondrite,H5,2400.0,1961.0,-17.3,15.83333,Angola,Africa,3rd_quantile,"(682.0, 2700.0]"
271,Ekeby,7776,Chondrite,H4,3336.0,1939.0,56.03333,13.0,Sweden,Europe,4th_quantile,"(2700.0, 10322.0]"
272,Ekh Khera,7777,Chondrite,H6,840.0,1916.0,28.26667,78.78333,India,Asia,3rd_quantile,"(682.0, 2700.0]"
273,El Idrissia,7807,Chondrite,L6,10000.0,1989.0,34.41667,3.25,Algeria,Africa,4th_quantile,"(2700.0, 10322.0]"
274,El Paso de Aguila,45977,Chondrite,H5,17226.0,1977.0,25.37,-97.37,Mexico,North America,5th_quantile,"(10322.0, 224800.0]"
275,El Tigre,7819,Chondrite,L6,5000.0,1993.0,19.96722,-103.05167,Mexico,North America,4th_quantile,"(2700.0, 10322.0]"
276,Elbert,7822,Chondrite,LL6,680.5,1998.0,39.24667,-104.58817,United States,North America,2nd_quantile,"(22.0, 682.0]"
278,Elenovka,7824,Chondrite,L5,54640.0,1951.0,47.83333,37.66667,Ukraine,Europe,5th_quantile,"(10322.0, 224800.0]"
279,Ellemeet,10019,Achondrite,Diogenite,1470.0,1925.0,51.75,4.0,Netherlands,Europe,3rd_quantile,"(682.0, 2700.0]"
280,Emmaville,10033,Achondrite,Eucrite-mmict,127.0,1900.0,-29.46667,151.61667,Australia,Oceania,2nd_quantile,"(22.0, 682.0]"
281,Enshi,10038,Chondrite,H5,8000.0,1974.0,30.3,109.5,China,Asia,4th_quantile,"(2700.0, 10322.0]"
284,Erakot,10042,Chondrite,CM2,113.0,1940.0,19.03333,81.89167,India,Asia,2nd_quantile,"(22.0, 682.0]"
285,Erevan,10043,Achondrite,Howardite,107.2,1911.0,40.3,44.5,Armenia,Asia,2nd_quantile,"(22.0, 682.0]"
286,Ergheo,10044,Chondrite,L5,20000.0,1889.0,1.16667,44.16667,Somalia,Africa,5th_quantile,"(10322.0, 224800.0]"
288,Esnandes,10051,Chondrite,L6,1500.0,1837.0,46.25,-1.1,France,Europe,3rd_quantile,"(682.0, 2700.0]"
289,Essebi,10055,Chondrite,C2-ung,500.0,1957.0,2.88333,30.83333,"Congo, The Democratic Republic of the",Africa,2nd_quantile,"(22.0, 682.0]"
290,Estherville,10059,Achondrite,Mesosiderite-A3/4,320000.0,1879.0,43.41667,-94.83333,United States,North America,6th_quantile,"(224800.0, 23000000.0]"
291,Farmington,10074,Chondrite,L5,89400.0,1890.0,39.75,-97.03333,United States,North America,5th_quantile,"(10322.0, 224800.0]"
292,Farmville,10075,Chondrite,H4,56000.0,1934.0,35.55,-77.53333,United States,North America,5th_quantile,"(10322.0, 224800.0]"
293,Favars,10078,Chondrite,H5,1500.0,1844.0,44.38333,2.81667,France,Europe,3rd_quantile,"(682.0, 2700.0]"
294,Fayetteville,10079,Chondrite,H4,2360.0,1934.0,36.05,-94.16667,United States,North America,3rd_quantile,"(682.0, 2700.0]"
295,Feid Chair,10080,Chondrite,H4,380.0,1875.0,36.88333,8.45,Algeria,Africa,2nd_quantile,"(22.0, 682.0]"
296,Felix,10081,Chondrite,CO3.3,3200.0,1900.0,32.53333,-87.16667,United States,North America,4th_quantile,"(2700.0, 10322.0]"
297,Fenghsien-Ku,10086,Chondrite,H5,82.0,1924.0,34.6,116.75,China,Asia,2nd_quantile,"(22.0, 682.0]"
298,Ferguson,10088,Chondrite,OC,220.0,1889.0,36.1,-81.41667,United States,North America,2nd_quantile,"(22.0, 682.0]"
299,Fermo,10091,Chondrite,H3-5,10200.0,1996.0,43.18111,13.75333,Italy,Europe,4th_quantile,"(2700.0, 10322.0]"
300,Fisher,10107,Chondrite,L6,17600.0,1894.0,47.81667,-96.85,United States,North America,5th_quantile,"(10322.0, 224800.0]"
301,Florence,10111,Chondrite,H3,3640.0,1922.0,30.83333,-97.76667,United States,North America,4th_quantile,"(2700.0, 10322.0]"
302,Forest City,10119,Chondrite,H5,152000.0,1890.0,43.25,-93.66667,United States,North America,5th_quantile,"(10322.0, 224800.0]"
303,Forest Vale,10120,Chondrite,H4,26000.0,1942.0,-33.35,146.85833,Australia,Oceania,5th_quantile,"(10322.0, 224800.0]"
304,Forksville,10123,Chondrite,L6,6067.0,1924.0,36.78333,-78.08333,United States,North America,4th_quantile,"(2700.0, 10322.0]"
305,Forsbach,10163,Chondrite,H6,240.0,1900.0,50.95,7.31667,Germany,Europe,2nd_quantile,"(22.0, 682.0]"
308,Frankfort (stone),10177,Achondrite,Howardite,650.0,1868.0,34.48333,-87.83333,United States,North America,2nd_quantile,"(22.0, 682.0]"
309,Fuhe,52412,Chondrite,L5,23000.0,1945.0,31.47556,113.56694,China,Asia,5th_quantile,"(10322.0, 224800.0]"
310,Fukutomi,10836,Chondrite,L5,11620.0,1882.0,33.18333,130.2,Japan,Asia,5th_quantile,"(10322.0, 224800.0]"
313,Fuyang,10840,Unclassified,Stone-uncl,2500.0,1977.0,32.9,115.9,China,Asia,3rd_quantile,"(682.0, 2700.0]"
315,Galim (a),10848,Chondrite,LL6,36.1,1952.0,7.05,12.43333,Cameroon,Africa,2nd_quantile,"(22.0, 682.0]"
316,Galim (b),10849,Chondrite,EH3/4-an,28.0,1952.0,7.05,12.43333,Cameroon,Africa,2nd_quantile,"(22.0, 682.0]"
317,Galkiv,10850,Chondrite,H4,5000.0,1995.0,51.68333,30.78333,Ukraine,Europe,4th_quantile,"(2700.0, 10322.0]"
318,Gambat,10851,Chondrite,L6,6400.0,1897.0,27.35,68.53333,Pakistan,Asia,4th_quantile,"(2700.0, 10322.0]"
319,Gao-Guenie,10854,Chondrite,H5,3600.0,1960.0,11.65,-2.18333,Burkina Faso,Africa,4th_quantile,"(2700.0, 10322.0]"
320,Garhi Yasin,10860,Achondrite,"Iron, IIE",380.0,1917.0,27.88333,68.53333,Pakistan,Asia,2nd_quantile,"(22.0, 682.0]"
321,Garland,10861,Achondrite,Diogenite-pm,102.0,1950.0,41.68333,-112.13333,United States,North America,2nd_quantile,"(22.0, 682.0]"
322,Gashua,44882,Chondrite,L6,4162.0,1984.0,12.85,11.03333,Nigeria,Africa,4th_quantile,"(2700.0, 10322.0]"
323,Gasseltepaoua,10866,Chondrite,H5,16.7,2000.0,14.15083,-2.04167,Burkina Faso,Africa,1st_quantile,"(0.099, 22.0]"
324,Geidam,10870,Chondrite,H5,725.0,1950.0,12.91667,11.91667,Nigeria,Africa,3rd_quantile,"(682.0, 2700.0]"
325,Gifu,10914,Chondrite,L6,14290.0,1909.0,35.53333,136.88333,Japan,Asia,5th_quantile,"(10322.0, 224800.0]"
326,Girgenti,10917,Chondrite,L6,18000.0,1853.0,37.31667,13.56667,Italy,Europe,5th_quantile,"(10322.0, 224800.0]"
327,Git-Git,10919,Chondrite,L6,480.0,1947.0,9.6,9.91667,Nigeria,Africa,2nd_quantile,"(22.0, 682.0]"
328,Glanerbrug,10923,Chondrite,L/LL5,670.0,1990.0,52.2,6.86667,Netherlands,Europe,2nd_quantile,"(22.0, 682.0]"
329,Glanggang,10924,Chondrite,H5-6,1303.0,1939.0,-7.25,107.7,Indonesia,Asia,3rd_quantile,"(682.0, 2700.0]"
330,Glasatovo,10926,Chondrite,H4,152000.0,1918.0,57.35,37.61667,Russian Federation,Europe,5th_quantile,"(10322.0, 224800.0]"
331,Glatton,10930,Chondrite,L6,767.0,1991.0,52.45972,-0.3,United Kingdom,Europe,3rd_quantile,"(682.0, 2700.0]"
332,Gnadenfrei,10936,Chondrite,H5,1750.0,1879.0,50.66667,16.76667,Poland,Europe,3rd_quantile,"(682.0, 2700.0]"
333,Gopalpur,10948,Chondrite,H6,1600.0,1865.0,24.23333,89.05,Bangladesh,Asia,3rd_quantile,"(682.0, 2700.0]"
334,Gorlovka,10949,Chondrite,H3.7,3618.0,1974.0,48.28333,38.08333,Ukraine,Europe,4th_quantile,"(2700.0, 10322.0]"
335,Granes,10956,Chondrite,L6,9000.0,1964.0,42.9,2.25,France,Europe,4th_quantile,"(2700.0, 10322.0]"
336,Grefsheim,11196,Chondrite,L5,45.5,1976.0,60.66667,11.0,Norway,Europe,2nd_quantile,"(22.0, 682.0]"
337,Grimsby,50911,Chondrite,H5,215.0,2009.0,43.2,-79.61667,Canada,North America,2nd_quantile,"(22.0, 682.0]"
338,Grosnaja,11206,Chondrite,CV3,3500.0,1861.0,43.66667,45.38333,Russian Federation,Europe,4th_quantile,"(2700.0, 10322.0]"
339,Gross-Divina,11207,Chondrite,H5,10500.0,1837.0,49.26667,18.71667,Slovakia,Europe,5th_quantile,"(10322.0, 224800.0]"
340,Grossliebenthal,11208,Chondrite,L6,8000.0,1881.0,46.35,30.58333,Ukraine,Europe,4th_quantile,"(2700.0, 10322.0]"
341,Grüneberg,11426,Chondrite,H4,1000.0,1841.0,51.93333,15.5,Poland,Europe,3rd_quantile,"(682.0, 2700.0]"
342,Grzempach,11429,Chondrite,H5,690.0,1910.0,52.86667,16.63333,Poland,Europe,3rd_quantile,"(682.0, 2700.0]"
343,Gualeguaychú,11432,Chondrite,H6,22000.0,1932.0,-33.0,-58.61667,Argentina,South America,5th_quantile,"(10322.0, 224800.0]"
344,Guangmingshan,11435,Chondrite,H5,2910.0,1996.0,39.80417,122.76389,China,Asia,4th_quantile,"(2700.0, 10322.0]"
346,Guangrao,11437,Chondrite,L6,1900.0,1980.0,37.1,118.4,China,Asia,3rd_quantile,"(682.0, 2700.0]"
347,Guareña,11439,Chondrite,H6,39000.0,1892.0,38.73333,-6.01667,Spain,Europe,5th_quantile,"(10322.0, 224800.0]"
348,Guêa,11440,Unclassified,Stone-uncl,1915.0,1891.0,43.76667,20.23333,Serbia,Europe,3rd_quantile,"(682.0, 2700.0]"
349,Guibga,11442,Chondrite,L5,288.0,1972.0,13.5,-0.68333,Burkina Faso,Africa,2nd_quantile,"(22.0, 682.0]"
350,Guidder,11443,Chondrite,LL5,968.0,1949.0,9.91667,13.98333,Cameroon,Africa,3rd_quantile,"(682.0, 2700.0]"
351,Gujargaon,11448,Chondrite,H5,2449.0,1982.0,22.98333,76.05,India,Asia,3rd_quantile,"(682.0, 2700.0]"
352,Gujba,11449,Chondrite,CBa,100000.0,1984.0,11.49167,11.65833,Nigeria,Africa,5th_quantile,"(10322.0, 224800.0]"
353,Gumoschnik,11450,Chondrite,H5,5700.0,1904.0,42.9,24.7,Bulgaria,Europe,4th_quantile,"(2700.0, 10322.0]"
355,Gursum,11465,Chondrite,H4/5,34650.0,1981.0,9.36667,42.41667,Ethiopia,Africa,5th_quantile,"(10322.0, 224800.0]"
356,Gütersloh,11466,Chondrite,H3/4,1000.0,1851.0,51.91667,8.38333,Germany,Europe,3rd_quantile,"(682.0, 2700.0]"
357,Gyokukei,11467,Chondrite,OC,1320.0,1930.0,35.0,127.5,"Korea, Republic of",Asia,3rd_quantile,"(682.0, 2700.0]"
359,Hainaut,11472,Chondrite,H3-6,9000.0,1934.0,50.31667,3.73333,France,Europe,4th_quantile,"(2700.0, 10322.0]"
360,Hallingeberg,11479,Chondrite,L3.4,1456.0,1944.0,57.81667,16.23333,Sweden,Europe,3rd_quantile,"(682.0, 2700.0]"
361,Hamlet,11485,Chondrite,LL4,3710.0,1959.0,41.38333,-86.6,United States,North America,4th_quantile,"(2700.0, 10322.0]"
362,Haraiya,11824,Achondrite,Eucrite-mmict,1000.0,1878.0,26.8,82.53333,India,Asia,3rd_quantile,"(682.0, 2700.0]"
363,Haripura,11829,Chondrite,CM2,315.0,1921.0,28.38333,75.78333,India,Asia,2nd_quantile,"(22.0, 682.0]"
364,Harleton,11830,Chondrite,L6,8360.0,1961.0,32.675,-94.51167,United States,North America,4th_quantile,"(2700.0, 10322.0]"
365,Harrison County,11842,Chondrite,L6,680.0,1859.0,38.25,-86.16667,United States,North America,2nd_quantile,"(22.0, 682.0]"
366,Hashima,11848,Chondrite,H4,1110.6,1910.0,35.2945,136.70033,Japan,Asia,3rd_quantile,"(682.0, 2700.0]"
367,Hassi-Jekna,11852,Primitive Achondrite,"Iron, IAB-sHL",1250.0,1890.0,28.95,0.81667,Algeria,Africa,3rd_quantile,"(682.0, 2700.0]"
369,Haverö,11859,Primitive Achondrite,Ureilite,1544.0,1971.0,60.24556,22.06194,Finland,Europe,3rd_quantile,"(682.0, 2700.0]"
370,Hedeskoga,11869,Chondrite,H5,3500.0,1922.0,55.46667,13.78333,Sweden,Europe,4th_quantile,"(2700.0, 10322.0]"
371,Hedjaz,11870,Chondrite,L3.7-6,6100.0,1910.0,27.33333,35.66667,Saudi Arabia,Asia,4th_quantile,"(2700.0, 10322.0]"
372,Heredia,11875,Chondrite,H5,1000.0,1857.0,10.0,-84.1,Costa Rica,North America,3rd_quantile,"(682.0, 2700.0]"
373,Hessle,11878,Chondrite,H5,20000.0,1869.0,59.85,17.66667,Sweden,Europe,5th_quantile,"(10322.0, 224800.0]"
374,Higashi-koen,11883,Chondrite,H5,750.0,1897.0,33.6,130.43333,Japan,Asia,3rd_quantile,"(682.0, 2700.0]"
376,Hiroshima,11889,Chondrite,H5,414.0,2003.0,34.45,132.38333,Japan,Asia,2nd_quantile,"(22.0, 682.0]"
377,Hoima,44714,Chondrite,H6,167.7,2003.0,1.345,31.47278,Uganda,Africa,2nd_quantile,"(22.0, 682.0]"
378,Hökmark,11893,Chondrite,L4,305.5,1954.0,64.43333,21.2,Sweden,Europe,2nd_quantile,"(22.0, 682.0]"
379,Holbrook,11894,Chondrite,L/LL6,220000.0,1912.0,34.9,-110.18333,United States,North America,5th_quantile,"(10322.0, 224800.0]"
380,Holetta,11895,Unclassified,Stone-uncl,1415.0,1923.0,9.06667,38.41667,Ethiopia,Africa,3rd_quantile,"(682.0, 2700.0]"
381,Homestead,11901,Chondrite,L5,230000.0,1875.0,41.8,-91.86667,United States,North America,6th_quantile,"(224800.0, 23000000.0]"
383,Hotse,11913,Chondrite,L6,180.0,1956.0,35.66667,115.5,China,Asia,2nd_quantile,"(22.0, 682.0]"
384,Hoxie,11915,Chondrite,OC,266.1,1963.0,39.35,-100.45,United States,North America,2nd_quantile,"(22.0, 682.0]"
386,Huaxi,54719,Chondrite,H5,1600.0,2010.0,26.46469,106.63241,China,Asia,3rd_quantile,"(682.0, 2700.0]"
387,Hungen,11986,Chondrite,H6,112.0,1877.0,50.3,8.91667,Germany,Europe,2nd_quantile,"(22.0, 682.0]"
388,Hvittis,11989,Chondrite,EL6,14000.0,1901.0,61.18333,22.68333,Finland,Europe,5th_quantile,"(10322.0, 224800.0]"
389,Ibbenbüren,11992,Achondrite,Diogenite,2000.0,1870.0,52.28333,7.7,Germany,Europe,3rd_quantile,"(682.0, 2700.0]"
390,Ibitira,11993,Achondrite,Eucrite-mmict,2500.0,1957.0,-20.0,-45.0,Brazil,South America,3rd_quantile,"(682.0, 2700.0]"
392,Ichkala,11995,Chondrite,H6,3973.0,1936.0,58.2,82.93333,Russian Federation,Europe,4th_quantile,"(2700.0, 10322.0]"
393,Idutywa,12000,Chondrite,H5,3457.0,1956.0,-32.1,28.33333,South Africa,Africa,4th_quantile,"(2700.0, 10322.0]"
394,Iguaracu,12003,Chondrite,H5,1200.0,1977.0,-23.2,-51.83333,Brazil,South America,3rd_quantile,"(682.0, 2700.0]"
395,Ijopega,12004,Chondrite,H6,7330.0,1975.0,-6.03333,145.36667,Papua New Guinea,Oceania,4th_quantile,"(2700.0, 10322.0]"
396,Indarch,12027,Chondrite,EH4,27000.0,1891.0,39.75,46.66667,Azerbaijan,Asia,5th_quantile,"(10322.0, 224800.0]"
397,Independence,12028,Chondrite,L6,880.0,1917.0,39.08333,-94.4,United States,North America,3rd_quantile,"(682.0, 2700.0]"
398,Inner Mongolia,12037,Chondrite,L6,3000.0,1963.0,41.0,112.0,China,Asia,4th_quantile,"(2700.0, 10322.0]"
399,Innisfree,12039,Chondrite,L5,4576.0,1977.0,53.415,-111.3375,Canada,North America,4th_quantile,"(2700.0, 10322.0]"
400,Ipiranga,12043,Chondrite,H6,7000.0,1972.0,-25.5,-54.5,Brazil,South America,4th_quantile,"(2700.0, 10322.0]"
401,Ishinga,12049,Chondrite,H,1300.0,1954.0,-8.93333,33.8,"Tanzania, United Republic of",Africa,3rd_quantile,"(682.0, 2700.0]"
402,Isthilart,12053,Chondrite,H5,3050.0,1928.0,-31.18333,-57.95,Argentina,South America,4th_quantile,"(2700.0, 10322.0]"
403,Itapicuru-Mirim,12056,Chondrite,H5,2024.0,1879.0,-3.4,-44.33333,Brazil,South America,3rd_quantile,"(682.0, 2700.0]"
404,Itqiy,12058,Chondrite,EH7-an,4720.0,1990.0,26.59083,-12.95217,Morocco,Africa,4th_quantile,"(2700.0, 10322.0]"
405,Ivuna,12063,Chondrite,CI1,704.5,1938.0,-8.41667,32.43333,"Tanzania, United Republic of",Africa,3rd_quantile,"(682.0, 2700.0]"
406,Jackalsfontein,12065,Chondrite,L6,48000.0,1903.0,-32.5,21.9,South Africa,Africa,5th_quantile,"(10322.0, 224800.0]"
407,Jajh deh Kot Lalu,12067,Chondrite,EL6,973.0,1926.0,26.75,68.41667,Pakistan,Asia,3rd_quantile,"(682.0, 2700.0]"
408,Jalanash,12068,Primitive Achondrite,Ureilite,700.0,1990.0,48.3,89.5,Mongolia,Asia,3rd_quantile,"(682.0, 2700.0]"
410,Jamkheir,12072,Chondrite,H6,22.0,1866.0,18.75,75.33333,India,Asia,1st_quantile,"(0.099, 22.0]"
411,Jartai,12074,Chondrite,L6,20500.0,1979.0,39.7,105.8,China,Asia,5th_quantile,"(10322.0, 224800.0]"
412,Jelica,12078,Chondrite,LL6,34000.0,1889.0,43.83333,20.44167,Serbia,Europe,5th_quantile,"(10322.0, 224800.0]"
413,Jemlapur,12079,Chondrite,L6,450.0,1901.0,25.3,86.5,India,Asia,2nd_quantile,"(22.0, 682.0]"
414,Jesenice,51589,Chondrite,L6,3667.0,2009.0,46.42137,14.05217,Slovenia,Europe,4th_quantile,"(2700.0, 10322.0]"
415,Jhung,12085,Chondrite,L5,5900.0,1873.0,31.3,72.38333,Pakistan,Asia,4th_quantile,"(2700.0, 10322.0]"
416,Jiange,12086,Chondrite,H5,222.0,1964.0,31.91667,104.91667,China,Asia,2nd_quantile,"(22.0, 682.0]"
417,Jianshi,12087,Achondrite,"Iron, IIIAB",600000.0,1890.0,30.80833,109.5,China,Asia,6th_quantile,"(224800.0, 23000000.0]"
418,Jilin,12171,Chondrite,H5,4000000.0,1976.0,44.05,126.16667,China,Asia,6th_quantile,"(224800.0, 23000000.0]"
419,Jodiya,47362,Chondrite,L5,100.0,2006.0,22.68,70.31333,India,Asia,2nd_quantile,"(22.0, 682.0]"
420,Jodzie,12173,Achondrite,Howardite,30.0,1877.0,55.7,24.4,Lithuania,Europe,2nd_quantile,"(22.0, 682.0]"
421,Johnstown,12198,Achondrite,Diogenite,40300.0,1924.0,40.35,-104.9,United States,North America,5th_quantile,"(10322.0, 224800.0]"
422,Jolomba,12199,Chondrite,LL6,483.0,1974.0,-11.85,15.83333,Angola,Africa,2nd_quantile,"(22.0, 682.0]"
424,Juancheng,12203,Chondrite,H5,100000.0,1997.0,35.5,115.41667,China,Asia,5th_quantile,"(10322.0, 224800.0]"
425,Judesegeri,12207,Chondrite,H6,680.0,1876.0,12.85,76.8,India,Asia,2nd_quantile,"(22.0, 682.0]"
426,Jumapalo,12209,Chondrite,L6,32490.0,1984.0,-7.71667,111.2,Indonesia,Asia,5th_quantile,"(10322.0, 224800.0]"
427,Junan,12210,Chondrite,L6,950.0,1976.0,35.2,118.8,China,Asia,3rd_quantile,"(682.0, 2700.0]"
428,Juromenha,12213,Achondrite,"Iron, IIIAB",25250.0,1968.0,38.74028,-7.27,Portugal,Europe,5th_quantile,"(10322.0, 224800.0]"
430,Kaba,12218,Chondrite,CV3,3000.0,1857.0,47.35,21.3,Hungary,Europe,4th_quantile,"(2700.0, 10322.0]"
431,Kabo,12220,Chondrite,H4,13400.0,1971.0,11.85,8.21667,Nigeria,Africa,5th_quantile,"(10322.0, 224800.0]"
433,Kaee,12222,Chondrite,H5,230.0,1838.0,27.25,79.96667,India,Asia,2nd_quantile,"(22.0, 682.0]"
434,Kagarlyk,12227,Chondrite,L6,1900.0,1908.0,49.86667,30.83333,Ukraine,Europe,3rd_quantile,"(682.0, 2700.0]"
435,Kaidun,12228,Chondrite,CR2,2000.0,1980.0,15.0,48.3,Yemen,Asia,3rd_quantile,"(682.0, 2700.0]"
436,Kainsaz,12229,Chondrite,CO3.2,200000.0,1937.0,55.43333,53.25,Russian Federation,Europe,5th_quantile,"(10322.0, 224800.0]"
437,Kakangari,12230,Chondrite,K3,350.0,1890.0,12.38333,78.51667,India,Asia,2nd_quantile,"(22.0, 682.0]"
438,Kakowa,12231,Chondrite,L6,577.0,1858.0,45.13333,21.66667,Romania,Europe,2nd_quantile,"(22.0, 682.0]"
439,Kalaba,12232,Chondrite,H4,950.0,1951.0,-6.83333,29.5,"Congo, The Democratic Republic of the",Africa,3rd_quantile,"(682.0, 2700.0]"
440,Kalumbi,12236,Chondrite,L6,4500.0,1879.0,17.83333,73.98333,India,Asia,4th_quantile,"(2700.0, 10322.0]"
441,Kamalpur,12238,Chondrite,L6,2770.0,1942.0,26.03333,81.46667,India,Asia,4th_quantile,"(2700.0, 10322.0]"
442,Kamiomi,12240,Chondrite,H5,448.0,1913.0,36.04167,139.95667,Japan,Asia,2nd_quantile,"(22.0, 682.0]"
443,Kamsagar,12241,Chondrite,L6,1293.0,1902.0,14.18333,75.8,India,Asia,3rd_quantile,"(682.0, 2700.0]"
444,Kandahar (Afghanistan),12243,Chondrite,L6,299.0,1959.0,31.6,65.78333,Afghanistan,Asia,2nd_quantile,"(22.0, 682.0]"
