,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,range label,mass range
51,Atarra,4883,Chondrite,L4,1280.0,1920.0,25.25417,80.625,India,Asia,3rd_quantile,"(682.0, 2700.0]"
52,Atemajac,4884,Chondrite,L6,94.2,1896.0,20.06667,-103.66667,Mexico,North America,2nd_quantile,"(22.0, 682.0]"
53,Athens,4885,Chondrite,LL6,265.0,1933.0,34.75,-87.0,United States,North America,2nd_quantile,"(22.0, 682.0]"
54,Atoka,4888,Chondrite,L6,1384.2,1945.0,34.31667,-96.15,United States,North America,3rd_quantile,"(682.0, 2700.0]"
55,Aubres,4893,Achondrite,Aubrite,800.0,1836.0,44.38333,5.16667,France,Europe,3rd_quantile,"(682.0, 2700.0]"
56,Aumale,4899,Chondrite,L6,50000.0,1865.0,36.16667,3.66667,Algeria,Africa,5th_quantile,"(10322.0, 224800.0]"
57,Aumieres,4900,Chondrite,L6,2000.0,1842.0,44.33333,3.23333,France,Europe,3rd_quantile,"(682.0, 2700.0]"
58,Ausson,4903,Chondrite,L5,50000.0,1858.0,43.08333,0.58333,France,Europe,5th_quantile,"(10322.0, 224800.0]"
59,Avanhandava,4905,Chondrite,H4,9330.0,1952.0,-21.46028,-49.95083,Brazil,South America,4th_quantile,"(2700.0, 10322.0]"
60,Avce,4906,Achondrite,"Iron, IIAB",1230.0,1908.0,46.0,13.5,Slovenia,Europe,3rd_quantile,"(682.0, 2700.0]"
61,Avilez,4907,Chondrite,H,146.0,1855.0,25.0,-103.5,Mexico,North America,2nd_quantile,"(22.0, 682.0]"
62,Awere,4910,Chondrite,L4,134.0,1968.0,2.71667,32.83333,Uganda,Africa,2nd_quantile,"(22.0, 682.0]"
63,Aztec,4913,Chondrite,L6,2830.0,1938.0,36.8,-108.0,United States,North America,4th_quantile,"(2700.0, 10322.0]"
65,Bahjoi,4922,Primitive Achondrite,"Iron, IAB-sLL",10322.0,1934.0,28.48333,78.5,India,Asia,4th_quantile,"(2700.0, 10322.0]"
66,Bald Mountain,4925,Chondrite,L4,3700.0,1929.0,35.96667,-82.48333,United States,North America,4th_quantile,"(2700.0, 10322.0]"
67,Baldwyn,4926,Chondrite,L6,345.0,1922.0,34.5,-88.66667,United States,North America,2nd_quantile,"(22.0, 682.0]"
68,Bali,4928,Chondrite,CV3,1000.0,1907.0,5.38333,16.38333,Central African Republic,Africa,3rd_quantile,"(682.0, 2700.0]"
